cardinality,distribution,method,build_cost,query_cost
16,skewed,cl,3.55173,19.2715
16,skewed,mr,0.00367916,21.4743
16,skewed,original,1.0128,28.6006
16,skewed,rl,6.43642,18.1101
16,skewed,rs,0.484738,16.9941
16,skewed,sp,0.462129,27.5525
16,uniform,cl,3.4421,20.7983
16,uniform,mr,0.00395047,28.0743
16,uniform,original,0.947952,24.5889
16,uniform,rl,6.32187,19.9589
16,uniform,rs,0.465871,16.1404
16,uniform,sp,0.465166,23.6349
32,normal,cl,7.46004,23.3778
32,normal,original,1.35269,22.9213
32,normal,rs,0.633819,18.9428
32,normal,sp,0.587309,23.73
32,skewed,cl,7.78099,23.3785
32,skewed,mr,0.00829151,22.1462
32,skewed,original,1.67724,27.966
32,skewed,rl,6.3993,19.8929
32,skewed,rs,0.612283,20.365
32,skewed,sp,0.604324,27.3632
32,uniform,cl,9.46776,22.7387
32,uniform,mr,0.00906583,28.978
32,uniform,original,1.67021,20.3115
32,uniform,rl,6.24946,24.7335
32,uniform,rs,0.631072,18.3241
32,uniform,sp,0.603045,23.9332
64,normal,cl,16.3805,21.4662
64,normal,mr,0.0225736,34.1315
64,normal,original,2.47759,31.264
64,normal,rs,0.944339,29.0326
64,normal,sp,0.892391,31.2677
64,skewed,cl,16.7801,18.8179
64,skewed,mr,0.0161712,26.147
64,skewed,original,3.1312,32.3399
64,skewed,rl,7.15363,26.6161
64,skewed,rs,0.983277,27.0042
64,skewed,sp,0.937535,35.0889
64,uniform,cl,19.2098,21.704
64,uniform,mr,0.0215493,40.6013
64,uniform,original,3.18218,30.7118
64,uniform,rl,6.90172,30.2082
64,uniform,rs,0.944766,25.7368
64,uniform,sp,0.915121,30.4082
128,normal,cl,39.2437,34.8504
128,normal,mr,0.0410381,35.5492
128,normal,original,4.41912,29.5374
128,normal,rs,1.64756,25.4582
128,normal,sp,1.42955,30.7222
128,skewed,cl,43.1976,30.1557
128,skewed,original,6.15568,36.5982
128,skewed,rl,7.53728,27.0375
128,skewed,rs,1.73514,25.7712
128,skewed,sp,1.48169,33.204
128,uniform,cl,43.5743,35.914
128,uniform,mr,0.0425484,38.5364
128,uniform,original,6.1027,33.3917
128,uniform,rl,7.34274,30.4427
128,uniform,rs,1.64189,25.6774
128,uniform,sp,1.46159,33.2168
200,normal,cl,80.6302,30.0967
200,normal,original,6.79845,30.4621
200,normal,rs,2.38016,24.6759
200,normal,sp,2.03863,30.4039
200,skewed,cl,59.1281,27.4694
200,skewed,mr,0.0616085,33.9014
200,skewed,original,9.39291,30.8935
200,skewed,rl,8.12335,25.386
200,skewed,rs,2.5126,24.8554
200,skewed,sp,2.13034,34.3505
200,uniform,cl,88.6184,33.0091
200,uniform,mr,0.0639701,38.4523
200,uniform,original,9.50943,29.3769
200,uniform,rl,8.33796,31.7473
200,uniform,rs,2.34806,24.5284
200,uniform,sp,2.1546,31.0899
400,normal,cl,179.887,29.897
400,normal,mr,0.121236,35.1982
400,normal,original,13.3362,31.9892
400,normal,rs,4.74368,24.8059
400,normal,sp,3.86414,30.1601
400,skewed,cl,195.548,27.2966
400,skewed,mr,0.130542,35.7345
400,skewed,original,18.6186,35.8359
400,skewed,rl,10.1274,26.9522
400,skewed,rs,4.94809,24.6602
400,skewed,sp,4.0351,40.9691
400,uniform,cl,199.189,31.7118
400,uniform,mr,0.128683,40.5847
400,uniform,original,18.579,35.0522
400,uniform,rl,10.3724,30.4165
400,uniform,rs,4.53667,24.8707
400,uniform,sp,3.99602,41.7955
800,normal,cl,521.091,27.6885
800,normal,mr,0.235074,36.6838
800,normal,original,26.6148,28.241
800,normal,rs,9.60027,24.1104
800,normal,sp,7.58699,32.7238
800,skewed,cl,508.506,25.1912
800,skewed,original,37.136,37.099
800,skewed,rs,9.95269,24.3702
800,skewed,sp,7.87114,35.6502
800,uniform,cl,557.496,32.6441
800,uniform,mr,0.271589,34.2201
800,uniform,original,37.0775,34.4538
800,uniform,rs,9.30895,24.5355
800,uniform,sp,7.87163,37.4451
1600,normal,cl,1382.88,31.5365
1600,normal,mr,0.510657,39.1218
1600,normal,original,48.7879,33.3651
1600,normal,rs,19.9706,24.2072
1600,normal,sp,15.0801,32.2294
1600,skewed,cl,1379.53,26.2708
1600,skewed,mr,0.504206,43.0165
1600,skewed,original,70.0416,31.8931
1600,skewed,rl,23.0822,27.1723
1600,skewed,rs,20.6137,24.9692
1600,skewed,sp,15.6819,36.6813
1600,uniform,cl,1514.15,33.5475
1600,uniform,mr,0.558571,34.6928
1600,uniform,original,69.7755,41.2415
1600,uniform,rs,18.9615,24.254
1600,uniform,sp,15.6032,42.551
3200,normal,cl,4431.11,27.4416
3200,normal,original,121.667,24.0593
3200,normal,rs,41.2453,24.0665
3200,normal,sp,30.4968,34.6926
3200,skewed,cl,3928.4,24.9253
3200,skewed,mr,1.02548,46.3827
3200,skewed,original,154.358,24.2483
3200,skewed,rl,40.6556,25.3272
3200,skewed,rs,42.5197,24.6205
3200,skewed,sp,31.7811,46.1138
3200,uniform,cl,3995.31,35.311
3200,uniform,mr,1.18994,35.7138
3200,uniform,original,156.878,24.0735
3200,uniform,rs,39.4519,24.3946
3200,uniform,sp,31.61,42.3326
6400,normal,cl,11968.1,28.205
6400,normal,mr,2.04436,46.3429
6400,normal,original,244.687,24.0818
6400,normal,rs,85.5673,24.6259
6400,normal,sp,61.7919,47.355
6400,skewed,cl,10869.2,26.1842
6400,skewed,mr,2.03102,47.5773
6400,skewed,original,316.083,23.9926
6400,skewed,rl,76.534,24.7858
6400,skewed,rs,89.2946,24.0754
6400,skewed,sp,64.6271,39.3801
6400,uniform,cl,13420.9,35.0592
6400,uniform,mr,2.22382,35.1691
6400,uniform,original,316.865,24.1197
6400,uniform,rs,80.5933,24.2279
6400,uniform,sp,64.1412,40.023
